id,time
Barking and Dagenham,361.1180455
Barnet,346.1250968
Bexley,343.5018764
Brent,342.1750608
Bromley,345.954607
Camden,287.3817564
City of London,295.0712806
Croydon,321.4174879
Ealing,322.3678125
Enfield,355.7815468
Greenwich,307.2368092
Hackney,278.6559073
Hammersmith and Fulham,287.3549049
Haringey,320.1303403
Harrow,337.7794033
Havering,349.2681209
Hillingdon,376.5270619
Hounslow,328.1481031
Islington,280.3552342
Kensington and Chelsea,264.3769547
Kingston upon Thames,330.3121537
Lambeth,267.2172311
Lewisham,302.078406
Merton,325.2959212
Newham,318.8176489
Redbridge,343.7019912
Richmond upon Thames,341.4839006
Southwark,306.4187689
Sutton,334.0418448
Tower Hamlets,270.3066393
Waltham Forest,302.3654665
Wandsworth,295.5065574
Westminster,304.9729858
