"","id","time"
"1","Barking and Dagenham",50.801784
"2","Barnet",-5.01508469999999
"3","Bexley",28.2534769
"4","Brent",13.4476994
"5","Bromley",-4.06966059999996
"6","Camden",40.7427418
"7","City of London",28.1358897
"8","Croydon",5.8106813
"9","Ealing",19.2977343
"10","Enfield",10.2338789
"11","Greenwich",19.4848589
"12","Hackney",36.3154966
"13","Hammersmith and Fulham",21.1354483
"14","Haringey",4.1753708
"15","Harrow",-18.8089641
"16","Havering",27.4614312
"17","Hillingdon",2.62344419999999
"18","Hounslow",6.63268640000001
"19","Islington",32.1671762
"20","Kensington and Chelsea",24.1857084
"21","Kingston upon Thames",-5.24687209999996
"22","Lambeth",22.3988786
"23","Lewisham",36.5486074
"24","Merton",11.3172653
"25","Newham",49.3606499
"26","Redbridge",22.8650369
"27","Richmond upon Thames",-11.1002784999999
"28","Southwark",57.4025964
"29","Sutton",-4.35533320000002
"30","Tower Hamlets",39.0100674
"31","Waltham Forest",5.30613000000005
"32","Wandsworth",17.750904
"33","Westminster",26.4210038
